product_id,name,type,unit
,PROTEGGO Fix H2O,Protettivo base acqua - fissativo/ancorante,g/m²
,PROTEGGO Lucido H2O,Protettivo base acqua - finitura lucida bicomponente,g/m² (prodotto puro)
,PROTEGGO Opaco H2O,Protettivo base acqua - finitura opaca bicomponente,g/m²
,SEAL WAX Lucida,Cera finitura lucida (solo CORLITE),g/m²
,PROTEGGO Color Opaco H2O,Finitura colorata base acqua (bicomponente) – personalizzazione colore superficiale,g/m²
