ncs_id,ncs_code,ncs_label,is_active
NCS_0515_G40Y,0515-G40Y,NCS 0515-G40Y,1
NCS_0515_G60Y,0515-G60Y,NCS 0515-G60Y,1
NCS_0515_G80Y,0515-G80Y,NCS 0515-G80Y,1
NCS_0515_G90Y,0515-G90Y,NCS 0515-G90Y,1
NCS_0515_R,0515-R,NCS 0515-R,1
NCS_0515_R10B,0515-R10B,NCS 0515-R10B,1
NCS_0515_R20B,0515-R20B,NCS 0515-R20B,1
NCS_0515_R40B,0515-R40B,NCS 0515-R40B,1
NCS_0515_R60B,0515-R60B,NCS 0515-R60B,1
NCS_0515_R80B,0515-R80B,NCS 0515-R80B,1
NCS_0515_R90B,0515-R90B,NCS 0515-R90B,1
NCS_0515_Y,0515-Y,NCS 0515-Y,1
NCS_0515_Y10R,0515-Y10R,NCS 0515-Y10R,1
NCS_0515_Y20R,0515-Y20R,NCS 0515-Y20R,1
NCS_0515_Y30R,0515-Y30R,NCS 0515-Y30R,1
NCS_0515_Y40R,0515-Y40R,NCS 0515-Y40R,1
NCS_0515_Y50R,0515-Y50R,NCS 0515-Y50R,1
NCS_0515_Y60R,0515-Y60R,NCS 0515-Y60R,1
NCS_0515_Y70R,0515-Y70R,NCS 0515-Y70R,1
NCS_0515_Y80R,0515-Y80R,NCS 0515-Y80R,1
NCS_0515_Y90R,0515-Y90R,NCS 0515-Y90R,1
NCS_0520_B,0520-B,NCS 0520-B,1
NCS_0520_B10G,0520-B10G,NCS 0520-B10G,1
NCS_0520_B30G,0520-B30G,NCS 0520-B30G,1
NCS_0520_B40G,0520-B40G,NCS 0520-B40G,1
NCS_0520_B50G,0520-B50G,NCS 0520-B50G,1
NCS_0520_B60G,0520-B60G,NCS 0520-B60G,1
NCS_0520_B70G,0520-B70G,NCS 0520-B70G,1
NCS_0520_B90G,0520-B90G,NCS 0520-B90G,1
NCS_0520_G,0520-G,NCS 0520-G,1
NCS_0520_G10Y,0520-G10Y,NCS 0520-G10Y,1
NCS_0520_G20Y,0520-G20Y,NCS 0520-G20Y,1
NCS_0520_G30Y,0520-G30Y,NCS 0520-G30Y,1
NCS_0520_G40Y,0520-G40Y,NCS 0520-G40Y,1
NCS_0520_G50Y,0520-G50Y,NCS 0520-G50Y,1
NCS_0520_G60Y,0520-G60Y,NCS 0520-G60Y,1
NCS_0520_G70Y,0520-G70Y,NCS 0520-G70Y,1
NCS_0520_G80Y,0520-G80Y,NCS 0520-G80Y,1
NCS_0520_G90Y,0520-G90Y,NCS 0520-G90Y,1
NCS_0520_R,0520-R,NCS 0520-R,1
NCS_0520_R10B,0520-R10B,NCS 0520-R10B,1
NCS_0520_R20B,0520-R20B,NCS 0520-R20B,1
NCS_0520_R30B,0520-R30B,NCS 0520-R30B,1
NCS_0520_R40B,0520-R40B,NCS 0520-R40B,1
NCS_0520_R50B,0520-R50B,NCS 0520-R50B,1
NCS_0520_R60B,0520-R60B,NCS 0520-R60B,1
NCS_0520_R70B,0520-R70B,NCS 0520-R70B,1
NCS_0520_R80B,0520-R80B,NCS 0520-R80B,1
NCS_0520_R90B,0520-R90B,NCS 0520-R90B,1
NCS_0520_Y,0520-Y,NCS 0520-Y,1
NCS_0520_Y10R,0520-Y10R,NCS 0520-Y10R,1
NCS_0520_Y20R,0520-Y20R,NCS 0520-Y20R,1
NCS_0520_Y30R,0520-Y30R,NCS 0520-Y30R,1
NCS_0520_Y40R,0520-Y40R,NCS 0520-Y40R,1
NCS_0520_Y50R,0520-Y50R,NCS 0520-Y50R,1
NCS_0520_Y60R,0520-Y60R,NCS 0520-Y60R,1
NCS_0520_Y70R,0520-Y70R,NCS 0520-Y70R,1
NCS_0520_Y80R,0520-Y80R,NCS 0520-Y80R,1
NCS_0520_Y90R,0520-Y90R,NCS 0520-Y90R,1
NCS_0525_R60B,0525-R60B,NCS 0525-R60B,1
NCS_0525_R70B,0525-R70B,NCS 0525-R70B,1
NCS_0530_B,0530-B,NCS 0530-B,1
NCS_0530_B10G,0530-B10G,NCS 0530-B10G,1
NCS_0530_B30G,0530-B30G,NCS 0530-B30G,1
NCS_0530_B40G,0530-B40G,NCS 0530-B40G,1
NCS_0530_B50G,0530-B50G,NCS 0530-B50G,1
NCS_0530_B60G,0530-B60G,NCS 0530-B60G,1
NCS_0530_B70G,0530-B70G,NCS 0530-B70G,1
NCS_0530_B90G,0530-B90G,NCS 0530-B90G,1
NCS_0530_G,0530-G,NCS 0530-G,1
NCS_0530_G10Y,0530-G10Y,NCS 0530-G10Y,1
NCS_0530_G20Y,0530-G20Y,NCS 0530-G20Y,1
NCS_0530_G30Y,0530-G30Y,NCS 0530-G30Y,1
NCS_0530_G40Y,0530-G40Y,NCS 0530-G40Y,1
NCS_0530_G50Y,0530-G50Y,NCS 0530-G50Y,1
NCS_0530_G60Y,0530-G60Y,NCS 0530-G60Y,1
NCS_0530_G70Y,0530-G70Y,NCS 0530-G70Y,1
NCS_0530_G80Y,0530-G80Y,NCS 0530-G80Y,1
NCS_0530_G90Y,0530-G90Y,NCS 0530-G90Y,1
NCS_0530_R,0530-R,NCS 0530-R,1
NCS_0530_R10B,0530-R10B,NCS 0530-R10B,1
NCS_0530_R20B,0530-R20B,NCS 0530-R20B,1
NCS_0530_R30B,0530-R30B,NCS 0530-R30B,1
NCS_0530_R40B,0530-R40B,NCS 0530-R40B,1
NCS_0530_R50B,0530-R50B,NCS 0530-R50B,1
NCS_0530_R80B,0530-R80B,NCS 0530-R80B,1
NCS_0530_R90B,0530-R90B,NCS 0530-R90B,1
NCS_0530_Y,0530-Y,NCS 0530-Y,1
NCS_0530_Y10R,0530-Y10R,NCS 0530-Y10R,1
NCS_0530_Y20R,0530-Y20R,NCS 0530-Y20R,1
NCS_0530_Y30R,0530-Y30R,NCS 0530-Y30R,1
NCS_0530_Y40R,0530-Y40R,NCS 0530-Y40R,1
NCS_0530_Y50R,0530-Y50R,NCS 0530-Y50R,1
NCS_0530_Y60R,0530-Y60R,NCS 0530-Y60R,1
NCS_0530_Y70R,0530-Y70R,NCS 0530-Y70R,1
NCS_0530_Y80R,0530-Y80R,NCS 0530-Y80R,1
NCS_0530_Y90R,0530-Y90R,NCS 0530-Y90R,1
NCS_0540_B,0540-B,NCS 0540-B,1
NCS_0540_B10G,0540-B10G,NCS 0540-B10G,1
NCS_0540_B30G,0540-B30G,NCS 0540-B30G,1
NCS_0540_G,0540-G,NCS 0540-G,1
NCS_0540_G10Y,0540-G10Y,NCS 0540-G10Y,1
NCS_0540_G20Y,0540-G20Y,NCS 0540-G20Y,1
NCS_0540_G30Y,0540-G30Y,NCS 0540-G30Y,1
NCS_0540_G40Y,0540-G40Y,NCS 0540-G40Y,1
NCS_0540_G50Y,0540-G50Y,NCS 0540-G50Y,1
NCS_0540_G60Y,0540-G60Y,NCS 0540-G60Y,1
NCS_0540_G70Y,0540-G70Y,NCS 0540-G70Y,1
NCS_0540_G80Y,0540-G80Y,NCS 0540-G80Y,1
NCS_0540_G90Y,0540-G90Y,NCS 0540-G90Y,1
NCS_0540_R,0540-R,NCS 0540-R,1
NCS_0540_R10B,0540-R10B,NCS 0540-R10B,1
NCS_0540_R20B,0540-R20B,NCS 0540-R20B,1
NCS_0540_R30B,0540-R30B,NCS 0540-R30B,1
NCS_0540_R90B,0540-R90B,NCS 0540-R90B,1
NCS_0540_Y,0540-Y,NCS 0540-Y,1
NCS_0540_Y10R,0540-Y10R,NCS 0540-Y10R,1
NCS_0540_Y20R,0540-Y20R,NCS 0540-Y20R,1
NCS_0540_Y30R,0540-Y30R,NCS 0540-Y30R,1
NCS_0540_Y40R,0540-Y40R,NCS 0540-Y40R,1
NCS_0540_Y50R,0540-Y50R,NCS 0540-Y50R,1
NCS_0540_Y60R,0540-Y60R,NCS 0540-Y60R,1
NCS_0540_Y70R,0540-Y70R,NCS 0540-Y70R,1
NCS_0540_Y80R,0540-Y80R,NCS 0540-Y80R,1
NCS_0540_Y90R,0540-Y90R,NCS 0540-Y90R,1
NCS_0550_G10Y,0550-G10Y,NCS 0550-G10Y,1
NCS_0550_G20Y,0550-G20Y,NCS 0550-G20Y,1
NCS_0550_G30Y,0550-G30Y,NCS 0550-G30Y,1
NCS_0550_G40Y,0550-G40Y,NCS 0550-G40Y,1
NCS_0550_G50Y,0550-G50Y,NCS 0550-G50Y,1
NCS_0550_G60Y,0550-G60Y,NCS 0550-G60Y,1
NCS_0550_G70Y,0550-G70Y,NCS 0550-G70Y,1
NCS_0550_G80Y,0550-G80Y,NCS 0550-G80Y,1
NCS_0550_G90Y,0550-G90Y,NCS 0550-G90Y,1
NCS_0550_R,0550-R,NCS 0550-R,1
NCS_0550_R10B,0550-R10B,NCS 0550-R10B,1
NCS_0550_Y,0550-Y,NCS 0550-Y,1
NCS_0550_Y10R,0550-Y10R,NCS 0550-Y10R,1
NCS_0550_Y20R,0550-Y20R,NCS 0550-Y20R,1
NCS_0550_Y30R,0550-Y30R,NCS 0550-Y30R,1
NCS_0550_Y40R,0550-Y40R,NCS 0550-Y40R,1
NCS_0550_Y50R,0550-Y50R,NCS 0550-Y50R,1
NCS_0550_Y60R,0550-Y60R,NCS 0550-Y60R,1
NCS_0550_Y70R,0550-Y70R,NCS 0550-Y70R,1
NCS_0550_Y80R,0550-Y80R,NCS 0550-Y80R,1
NCS_0550_Y90R,0550-Y90R,NCS 0550-Y90R,1
NCS_0560_G10Y,0560-G10Y,NCS 0560-G10Y,1
NCS_0560_G20Y,0560-G20Y,NCS 0560-G20Y,1
NCS_0560_G30Y,0560-G30Y,NCS 0560-G30Y,1
NCS_0560_G40Y,0560-G40Y,NCS 0560-G40Y,1
NCS_0560_G50Y,0560-G50Y,NCS 0560-G50Y,1
NCS_0560_G60Y,0560-G60Y,NCS 0560-G60Y,1
NCS_0560_G70Y,0560-G70Y,NCS 0560-G70Y,1
NCS_0560_G80Y,0560-G80Y,NCS 0560-G80Y,1
NCS_0560_G90Y,0560-G90Y,NCS 0560-G90Y,1
NCS_0560_R,0560-R,NCS 0560-R,1
NCS_0560_Y,0560-Y,NCS 0560-Y,1
NCS_0560_Y10R,0560-Y10R,NCS 0560-Y10R,1
NCS_0560_Y20R,0560-Y20R,NCS 0560-Y20R,1
NCS_0560_Y30R,0560-Y30R,NCS 0560-Y30R,1
NCS_0560_Y40R,0560-Y40R,NCS 0560-Y40R,1
NCS_0560_Y50R,0560-Y50R,NCS 0560-Y50R,1
NCS_0560_Y60R,0560-Y60R,NCS 0560-Y60R,1
NCS_0560_Y70R,0560-Y70R,NCS 0560-Y70R,1
NCS_0560_Y80R,0560-Y80R,NCS 0560-Y80R,1
NCS_0560_Y90R,0560-Y90R,NCS 0560-Y90R,1
NCS_0565_G10Y,0565-G10Y,NCS 0565-G10Y,1
NCS_0565_G50Y,0565-G50Y,NCS 0565-G50Y,1
NCS_0565_R,0565-R,NCS 0565-R,1
NCS_0570_G20Y,0570-G20Y,NCS 0570-G20Y,1
NCS_0570_G30Y,0570-G30Y,NCS 0570-G30Y,1
NCS_0570_G40Y,0570-G40Y,NCS 0570-G40Y,1
NCS_0570_G60Y,0570-G60Y,NCS 0570-G60Y,1
NCS_0570_G70Y,0570-G70Y,NCS 0570-G70Y,1
NCS_0570_G80Y,0570-G80Y,NCS 0570-G80Y,1
NCS_0570_G90Y,0570-G90Y,NCS 0570-G90Y,1
NCS_0570_Y,0570-Y,NCS 0570-Y,1
NCS_0570_Y10R,0570-Y10R,NCS 0570-Y10R,1
NCS_0570_Y20R,0570-Y20R,NCS 0570-Y20R,1
NCS_0570_Y30R,0570-Y30R,NCS 0570-Y30R,1
NCS_0570_Y40R,0570-Y40R,NCS 0570-Y40R,1
NCS_0570_Y50R,0570-Y50R,NCS 0570-Y50R,1
NCS_0570_Y60R,0570-Y60R,NCS 0570-Y60R,1
NCS_0570_Y70R,0570-Y70R,NCS 0570-Y70R,1
NCS_0570_Y80R,0570-Y80R,NCS 0570-Y80R,1
NCS_0570_Y90R,0570-Y90R,NCS 0570-Y90R,1
NCS_0575_G20Y,0575-G20Y,NCS 0575-G20Y,1
NCS_0575_G40Y,0575-G40Y,NCS 0575-G40Y,1
NCS_0575_G60Y,0575-G60Y,NCS 0575-G60Y,1
NCS_0575_G70Y,0575-G70Y,NCS 0575-G70Y,1
NCS_0575_G90Y,0575-G90Y,NCS 0575-G90Y,1
NCS_0580_G30Y,0580-G30Y,NCS 0580-G30Y,1
NCS_0580_Y,0580-Y,NCS 0580-Y,1
NCS_0580_Y10R,0580-Y10R,NCS 0580-Y10R,1
NCS_0580_Y20R,0580-Y20R,NCS 0580-Y20R,1
NCS_0580_Y30R,0580-Y30R,NCS 0580-Y30R,1
NCS_0580_Y40R,0580-Y40R,NCS 0580-Y40R,1
NCS_0580_Y50R,0580-Y50R,NCS 0580-Y50R,1
NCS_0580_Y60R,0580-Y60R,NCS 0580-Y60R,1
NCS_0580_Y70R,0580-Y70R,NCS 0580-Y70R,1
NCS_0580_Y80R,0580-Y80R,NCS 0580-Y80R,1
NCS_0580_Y90R,0580-Y90R,NCS 0580-Y90R,1
NCS_0585_Y20R,0585-Y20R,NCS 0585-Y20R,1
NCS_0585_Y30R,0585-Y30R,NCS 0585-Y30R,1
NCS_0585_Y40R,0585-Y40R,NCS 0585-Y40R,1
NCS_0585_Y50R,0585-Y50R,NCS 0585-Y50R,1
NCS_0585_Y60R,0585-Y60R,NCS 0585-Y60R,1
NCS_0585_Y70R,0585-Y70R,NCS 0585-Y70R,1
NCS_0585_Y80R,0585-Y80R,NCS 0585-Y80R,1
NCS_0603_G40Y,0603-G40Y,NCS 0603-G40Y,1
NCS_0603_G80Y,0603-G80Y,NCS 0603-G80Y,1
NCS_0603_R20B,0603-R20B,NCS 0603-R20B,1
NCS_0603_R40B,0603-R40B,NCS 0603-R40B,1
NCS_0603_R60B,0603-R60B,NCS 0603-R60B,1
NCS_0603_R80B,0603-R80B,NCS 0603-R80B,1
NCS_0603_Y20R,0603-Y20R,NCS 0603-Y20R,1
NCS_0603_Y40R,0603-Y40R,NCS 0603-Y40R,1
NCS_0603_Y60R,0603-Y60R,NCS 0603-Y60R,1
NCS_0603_Y80R,0603-Y80R,NCS 0603-Y80R,1
NCS_0804_B50G,0804-B50G,NCS 0804-B50G,1
NCS_0804_G20Y,0804-G20Y,NCS 0804-G20Y,1
NCS_0804_G60Y,0804-G60Y,NCS 0804-G60Y,1
