ral_id,ral_code,ral_label,is_active
RAL_8015,8015,RAL 8015,1
RAL_8016,8016,RAL 8016,1
RAL_8017,8017,RAL 8017,1
RAL_8019,8019,RAL 8019,1
RAL_8022,8022,RAL 8022,1
RAL_8023,8023,RAL 8023,1
RAL_8024,8024,RAL 8024,1
RAL_8025,8025,RAL 8025,1
RAL_8028,8028,RAL 8028,1
RAL_9001,9001,RAL 9001,1
RAL_9002,9002,RAL 9002,1
RAL_9003,9003,RAL 9003,1
RAL_9004,9004,RAL 9004,1
RAL_9005,9005,RAL 9005,1
RAL_9006,9006,RAL 9006,1
RAL_9007,9007,RAL 9007,1
RAL_9010,9010,RAL 9010,1
RAL_9011,9011,RAL 9011,1
RAL_9016,9016,RAL 9016,1
RAL_9017,9017,RAL 9017,1
RAL_9018,9018,RAL 9018,1
