product_id,name,type,unit
,PROTEGGO Fix S,Protettivo solvente - fissativo/ancorante,g/m²
,PROTEGGO Lucido S,Protettivo solvente - finitura lucida bicomponente,g/m²
,PROTEGGO Opaco S,Protettivo solvente - finitura opaca bicomponente,g/m²
,"Premix colore per PROTEGGO Opaco S da 1,88 kg",Additivo colore (premix) - voce listino separata,pz
,Premix colore per PROTEGGO Opaco S da 6 kg,Additivo colore (premix) - voce listino separata,pz
