voce,dato
PROTEGGO Fix S,NATURAL/SENSE: 1 mano 60 g/m². DEKORA: 1 mano 80 g/m². MATERIAL escluso (solo H2O).
PROTEGGO Lucido S,"2 mani, 80 g/m² per mano, mai diluito. Pot-life 2 ore. Ricopertura: min 8 ore, max 24 ore."
PROTEGGO Opaco S,"2 mani, 80 g/m² per mano. Pot-life 2 ore. Ricopertura: min 6 ore, max 72 ore."
LAMINE solvente,Lucido S a spatola 2 mani: 250 + 150 g/m². Se opaco: 1 mano Opaco S 80 g/m².
CORLITE solvente,Solo opaco: 2 mani Opaco S 80 g/m². Nessuna cera a solvente.
Opaco S colorato,"Non esiste PROTEGGO Color S. Colore ottenuto con premix colore a listino, in base alla pezzatura Opaco S (1,88 o 6 kg)."
